id,name,house,house_link,description,added_date,added_by
1,51,Black Phoenix Alchemy Lab,,"Luminescent, glowing, and otherworldly: green mandarin, neroli, honeydew, white amber, guava, freesia, white and green musks hovering over desert scrub, smashed wood, and the dry, biting scent of night air over the Groom Lake salt flats.",2022-04-24 13:48:45,1
2,1891,Alkemia,,"Based on a 19th century recipe for a fine gentleman's cologne. A delightful anachronism of French lavender buds, mandarin peel, lime leaves, bergamot, bay leaves, coriander, clove, nutmeg, ginger flower, pink pepper, elegant white carnations, heirloom tree rose, opium tar accord, and woody amber resin nestled in an embrace of precious oriental incense woods.",2022-04-24 13:48:45,1
3,1933,Black Baccara,,"Cedar barrel, charred wood, frosted lavender, fresh cut grass, fresh limes, and verdant forests.",2022-04-24 13:48:45,1
4,1997,Smell Bent,,"Palo santo mingled with amber, dry resins, white fir and bitter orange",2022-04-24 13:48:45,1
5,#20 Love Oil,Black Phoenix Alchemy Lab,,"A potent, enticing love formula, favored among Louisiana courtesans.",2022-04-24 13:48:45,1
6,10-9-8-7-6-5-4-3-2-1,BPAL,,"Vanilla cake with sprinkles and red velvet cupcakes, with a touch of climbing wisteria and sparkling apple cider.",2022-04-24 13:48:45,1
7,A City on Fire,Imaginary Authors,,"Cade oil, Spikenard, Cardamom, Clearwood, Dark Berries, Labdanum, Burnt Match",2022-04-24 13:48:45,1
8,A La Nanita Nala,Conjur Oils,,"The cherubic scent of a sleeping infant's skin, the nourishing sweetness of mother's milk, holy white musk and the radiant golden glow of warm vanilla-infused amber angel wings.",2022-04-24 13:48:45,1
9,A Place of Seeing,Black Phoenix Alchemy Lab,,"Hope renewed: pink rosebuds and lavender with amber-gilded sandalwood, vanilla bean, bergamot, and marshmallow.",2022-04-24 13:48:45,1
10,A Whiff of Wafflecone,Imaginary Authors,,"Vanilla, Heavy Cream, Salted Caramel, Amyris, Orgeat, Saigon Cinnamon, Ice Cream Shoppe",2022-04-24 13:48:45,1
11,A Winter's Walk in the Cemetery,Black Phoenix Alchemy Lab,,"Lilith's lavender and my Dorian on a rambling walk through soft, sweet grass, cypress trees, piles of maple leaves, and bright bouquets of lilies and roses.",2022-04-24 13:48:45,1
12,Absinthe and Laudadnum in the Afternoon,Alkemia,,"An intemperate intoxication of galbanum, laudanum accord, tonka bean, vetivert root and narcotic wormwood swooning into an euphoric delirium of opium poppy, poet's jasmine, and french lavender.",2022-04-24 13:48:45,1
13,Absolutely Cuckoo,Black Hearted Tart,,Refreshing coconut water poured over fresh peaches and topped with orange zest. A splash of vanilla adds creaminess,2022-04-24 13:48:45,1
14,Academy of Pleasure,Alkemia,,"Red and golden ambers infused with a bottle of fine cognac liqueur, a suede waistcoat hurriedly abandoned on an antique chair, a haphazard tangle of bergamot scented linen sheets, cardamon-hashish coffee, and a cedar lined cigar humidor.",2022-04-24 13:48:45,1
15,Acai Berry,Skin Like Butter,,"No description listed. Smells sweet, slightly tart, and green.",2022-04-24 13:48:45,1
16,Aeviternitas,Siren Song Elixirs,,"Rose, Peony, Wild Rose, Plum Blossom, Oriental Musk, Sandalwood, Strawberry, Labdanum",2022-04-24 13:48:45,1
17,Affaire de Coeur,Alkemia,,"A flirtatiously feminine enchantment of sugared white musk, creamy Madagascar vanilla, white sandalwood, tonka bean, white amber, and pale sugar cane. Sweetly intoxicating...",2022-04-24 13:48:45,1
18,Affogato,NAVA,,"Vanilla Ice Cream accord, Italian Espresso Bean, Freshly Brewed Morning Coffee accord, Arabica Coffee Bean Absolute, Crystalline Absolute, Italian Cream and warmed Coffee Bean essence",2022-04-24 13:48:45,1
19,Aficionado,Haus of Gloi,,"Chewy vanilla tobacco, red cedar, pipe smoke, and a shot of fine whiskey.",2022-04-24 13:48:45,1
20,Afternoon Tea Cat,18,,"Black Tea, Vanilla Tea Cake accord, Tonka Bean, Ember SL Vanilla Absolute, White Clove, Bastet's Ice Cream, Crystal and Crystalline",2022-04-24 13:48:45,1
21,Áine,Deconstructing Eden,,"Sunflowers, bergamot, orris, melons, peaches, pink grapefruit, jasmine, honey, lilies, sweet lemon, sandalwood, and palo santo wood comprise the notes of this fragrance that is meant to encompass and capture the bounty of summer.",2022-04-24 13:48:45,1
22,Akhenaten X,18,,"Our last of three 'X' scents besieged with different types of 'vanilla': essence, resin, dust, perfume, orchid, vanilla bean, flecks, flesh. For this FEx we present the great Sun Pharaoh Akhenaten X with his scent of Lily, Magnolia, White Ginger, Amber, Kudzu Blossom, White Lotus, White Amber, Coriander, Frankincense, Apricot, Grapefruit and a hint of Peach all glorified with the vanilla sun elements of French Vanilla, Russian Fall Vanilla, Vanilla-Myrrh infusion Orchid and Tonka Vanilla Bean Flesh.",2022-04-24 13:48:45,1
23,Al-Shairan,Black Phoenix Alchemy Lab,,"His scent is fiery, bright and thick with sweet sinfulness: clove, peach and orange with cinnamon, patchouli and dark incense notes.",2022-04-24 13:48:45,1
24,Aldéhydes,Alkemia,,"Aldéhydes (Aldehyde) are aroma molecules that add a clean, sparkly element to perfumes. Airy and effervescent, they help make scents 'pop.'",2022-04-24 13:48:45,1
25,Alecto,Black Phoenix Alchemy Lab,,"Olive leaf, raspberry leaf, vetiver and cedarwood.",2022-04-24 13:48:45,1
26,Alice,Black Phoenix Alchemy Lab,,"Curiouser and curiouser. Milk and honey with rose, carnation and bergamot.",2022-04-24 13:48:45,1
27,Alice's Evidence,Black Phoenix Alchemy Lab,,Containing nary a neutron of meaning: rum-quince-cassis with prune and a bit of black ginger.,2022-04-24 13:48:45,1
28,Alisz,Black Phoenix Alchemy Lab,,"Spun sugar, frankincense, white rose, mallow root, red currant, and vanilla mint.",2022-04-24 13:48:45,1
29,All Hallows Eve 2017,Alkemia,,"A scent of magic, mystery, remembrance, childhood nostalgia, and sweet blessings for darker times - bourbon vanilla, tonka bean, cardamon pods, star anise, candied fennel seeds, marshmallows toasted on a smouldering campfire, and smoked amber.",2022-04-24 13:48:45,1
30,All Hallows' Eve 2020,Alkemia,,"This year's batch has loads of marshmallows toasted over a maplewood bonfire, crème caramel, candied citron, guaiac wood, vanilla aldehydes, and a puff of woodsmoke",2022-04-24 13:48:45,1
31,All Night Long,Black Phoenix Alchemy Lab,,As if the name didn't spell it out for you. This blend relieves all sexual inhibitions by simultaneously relaxing and arousing.,2022-04-24 13:48:45,1
32,All Soul's Night,Hexennacht,,"Molten marshmallow blobs on scorched sticks, plumes of woodsmoke and hot, glowing campfire embers on a cool autumn night",2022-04-24 13:48:45,1
33,All That Jazz,18,,"Strawberry essence, Violet, Santalum White, Champagne accord, Lime, Orange peel, Vanilla bean fleck",2022-04-24 13:48:45,1
34,All the Black Cats in the World,Astrid,,"Lush Vanilla, Orris, Amyris, Amber, Star Anise, Rose, Blackberry, Tonka, Patchouli, Jasmine",2022-04-24 13:48:45,1
35,Alyssum Champagne Crystalline,NAVA,,"Egyptian Alyssum found near Philae Temple in Aswan, Effervescent Champagne White Grape, a drop of Silver Sandalwood-Musk Accord and Crystalline Vanilla Bean whole",2022-04-24 13:48:45,1
36,Amber Moon,18,,"White Amber, Golden Amber, Amber23, Shiso, White, Pomelo Leaves / Blue Balsam, Roasted Chestnut, Egyptian Vanilla, Pine Resin and Vanilla Bean bring us prosperity, hope, ingenuity and love into January and February 2008 from Nocturne Alchemy",2022-04-24 13:48:45,1
37,Amber Warmed by Skin,Alpha Musk,,a skin musk with a clean lightly salted skin and a stone like amber ethereal blend and a warm golden royal musk to add light sensuality to the mix.,2022-04-24 13:48:45,1
38,Amber White,Cocoa Pink,,"The rare, seductive aroma of pure warmed white amber.",2022-04-24 13:48:45,1
39,Ammonite II,18,,"NA Limestone Amber infused with Vanilla Cake accord, Kobalt Absolute, eNVie saphir Absolut.",2022-04-24 13:48:45,1
40,Ammonite IV,18,,"NA Limestone Amber infused with Eternal Ankh Absolute, Crystal Musk, Crystalline and a touch of Bastet's Musk.",2022-04-24 13:48:45,1
41,Amortentia,Hexennacht,,"white chocolate, raspberry cordial, rose petals.",2022-04-24 13:48:45,1
42,Amour Conjure,Alkemia,,"An erotic, exotic blend of amber aged with Bourbon vanilla pods, Ceylon cinnamon infused flirtatious aldehydes, Bulgarian roses, rose geranium and vetivert roots, copper distilled patchouli, and a scattering of incense resins.",2022-04-24 13:48:45,1
43,Amsterdam,Black Phoenix Alchemy Lab,,"Tulips, peony, fresh flowing water and crisp green grasses.",2022-04-24 13:48:45,1
